词语	拼音	词性	英语	例句
测	cè	v	Test	人生真是不测啊！
肠	cháng	n	intestines	为了在敌人面前逃身，会倾肠倒肚，把内脏抛给敌人，过一段时间，内脏自然还会长出来
尝试	chángshì	v	attempt	但由于传统硬性思考的模式影响，一些启发创造思考的尝试，最后还是回到硬性思考的怀抱
厂长	chǎngzhǎng	n	The factory director	C:你好，王厂长。
称赞	chēngzàn	v	praise	谁{shui2}听到他的{de5}话都{dou1}称赞他。
成果	chéngguǒ	n	achievements	这一成果使他荣获了诺贝尔奖
成立	chénglì	v	The establishment of	贵公司成立时间并不太长，但是发展得很快。
成长	chéngzhǎng	v	Grow up	全社会都应关心孩子的健康成长。
承认	chéngrèn	v	Admit	我承认，我放不下你。
程	chéng	n	Process	问程小姐，我走啦。
惩罚	chéngfá	v	Punishment	我怎么会舍得惩罚你。
持	chí	v	hold	离、退休人员持身份证或离、退休证
出差	chūchāi	v	A business travel	一个人来出差。
出事	chūshì	v	The accident	小迪出事了。
除非	chúfēi	c	Unless	我有权力不干吗？除非是我们不想让你干。
处理	chǔlǐ	v	Handle	另一次就是雨天来，看看防水处理。
川	chuān	n	Sichuan	你好！川。
传奇	chuánqí	n	legend	象这样一部具有传奇色彩的故事，在揭示出他们的政治关系的同时，以爱情的发展作为副线是无可厚非的
存在	cúnzài	v	The existence of	钱存在这里，只会越来越少。
错过	cuòguò	v	Miss	当然，沿着这条路走，在第二个拐角左转，再向前直走200米，你会看见联华超市的一个大牌子，你不会错过的。
达到	dádào	v	Achieve	相对湿度达到。百分之九十九
打扮	dǎban	v	Dress up	你打扮得漂亮，我也好带你出去谈生意呀
大师	dàshī	n	Master	大师，大师！
代表	dàibiǎo	n	Representative	这是他的代表作品。
带领	dàilǐng	v	Lead	B:于总，您应该是一月七号下午带领您的团队到达江州机场吧。
丹	dān	a	Dan	当时有些医生也不辨是非，将医学抛在一边，反竞相传播丹方和仿制丹药
单独	dāndú	a	alone	它虽然反映了人与自然的关系，但却不是单独的个人，而是社会的人
耽误	dānwu	v	Delay	所以耽误了您一节课。
胆	dǎn	n	Bile	没想到，你胆还挺大。
倒是	dàoshì	d	It is	那倒是…
倒数	dàoshǔ	v	Reciprocal	这样啊，你从三开始倒数。
德	dé	n	Virtue	Interviewer:我们会尽快和你联系，特德。谢谢你能来。
敌	dí	n	enemy	丰富了{le5}对敌斗争的{de5}经验
地震	dìzhèn	v	earthquake	我记得在报纸上{shang5}看到过{guo5}关于这次地震的{de5}消息。
帝国	dìguó	n	Empire	到帝国大厦，
电子	diànzǐ	n	Electronics	我叫David,住在上海.出生于1982年.我的专业是电子工程.
殿	diàn	n	temple	例如关于祈年殿的表象、天安门的表象是特殊的表象，树的表象和书的表象就是一般的表象
丁	dīng	n	Ding	还有，“丁克家庭”是什么意思呢？
抖音	dǒu yīn	n	Tiktok	你还在玩抖音啊。
独自	dúzì	d	Alone	元旦前独自倒数。
赌	dǔ	v	Bet	怎么赌？
度假	dùjià	v	On vacation	好主意！我们可以一起申请，然后去度假。
对象	duìxiàng	n	Object	我希望跟我结婚的对象。
炖	dun4	v	Stew	我炖了燕窝来，
恩	ēn	n	Okay	一二恩恩恩
儿女	érnǚ	n	children	过了一会，母亲一见儿女们走了，也就只得跟着离开
发病	fābìng	v	morbidity	妈说以前一发病，都是你陪倒她的
发财	fācái	v	Make a fortune	恭喜发财。
发挥	fāhuī	v	develop	这些多层次的关系处理得恰当与否，直接关系到他们才能的发挥和事业的成败
发誓	fāshì	v	swear	我在心底暗暗发誓说，如果下一次我要去麻烦他，那一定是为更有价值的东西
烦恼	fánnǎo	a	annoyance	坏消息使他很烦恼。
反应	fǎnyìng	n	Reaction	或者是给他的反应，
犯	fàn	v	Make	犯了多数男人都会犯的错。
方面	fāngmiàn	n	Aspect	但你有那方面的经验吗？
方式	fāngshì	n	Methods	用什么方式寄？
防	fáng	v	Anti	像这种的呢，是有防漏边的。
放过	fàngguò	v	Let go	这种人连个孩子都不放过。
放弃	fàngqì	v	Give up	不要放弃。
非得	fēiděi	vu	Must	A:我说不买吧，非得买！
肺	fèi	n	Lung	我的肺功能开始衰退，
废	fèi	v	Waste	修旧利废节约大量资金
废话	fèihuà	n	Crap	所有人都在说废话。
风水	fēngshui	n	Feng Shui	换换环境，换换风水啊。
疯狂	fēngkuáng	a	Insane	天哪!你买了这么多东西，疯狂购物呀!
疯子	fēngzi	n	Crazy	D:真的吗，疯子？
缝	féng/fèng	v	Seam	正在缝针。
凤	fèng	n	phoenix	可是，你见过五月节游凤船的热闹场面么
佛	fó	n	The Buddha	以假乱真佛跳墙，还有…
否	fǒu	d	No	你有否想过将这笔钱拿来投资呢？
否则	fǒuzé	c	Otherwise	你必须申报。否则，政府可能会没收。
伏	fú	v	Crouch	他伏下身子来抱孩子
服用	fúyòng	v	Take	病人服用了大量的维C，
付出	fùchū	v	Pay	你都付出了很多。
负	fù	v	negative	他应该负什么责任你查{cha2}出来了{le5}吗{ma5}
复杂	fùzá	a	Complex	小燕子，我有个朋友要来中国旅游，他问我，什么季节来比较好。中国这么大，气候一定很复杂吧？
富	fù	a	The rich	改革开放以后富起来的。
肝	gān	n	Liver	我既不吃肚{du3}也不吃肝。
感受	gǎnshòu	v	Feeling	让大家感受一下。
告	gào	v	Sue	你去跟他告个别吧。
格	gé	n	Lattice	把灯光帮我调暗一点,空调调低一格。
根本	gēnběn	d	The fundamental	情况根本就一样。
根据	gēnjù	p	According to the	对不起，根据新的规定这些是不允许带上飞机的。
工	gōng	n	work	他们也包起工来了{le5}
工作人员	gōngzuòrényuán	n	Personnel	这部戏所有台前幕后的工作人员。
功能	gōngnéng	n	Function	我的肺功能开始衰退，
攻	gōng	v	Attack	醒狮，前攻后守
攻击	gōngjī	v	Attack	我要你攻击她的弱点
宫	gōng	n	The Palace	（摇头）这也难怪，待在宫里久了，是对外面的变化不知不懂
关系	guānxì	n	The relationship between the	这个没有关系。
关于	guānyú	p	A page	那么关于预算的调整、
观	guān	v	view	因此，大科学的人才观认为
管理	guǎnlǐ	v	Administration	浪费人应设置保佐人，代他们管理财产
归来	guīlái	v	Return	这该是归来的时候了，她想
跪	guì	v	kneel	再跪下去我可{ke3}受不了{liao3}了{le5}
棍	gùn	n	stick	父亲没听完就火了，小棍一扔，眉头也拧了起来
棍子	gùnzi	n	stick	一棍子打{da3}上去,没{mei2}打{da3}着{zhao2}
郭	guō	nhf	outer wall or surrounding area of a city	有关部门起初帮我找到一间房子，郭副市长看了后，嫌房子太小
过程	guòchéng	n	Process	做任何事情都需要一个过程，完全没有必要着急。
害	hài	v	Harm	你也是我害的。
韩	hán	ns	Han	她不但不扯老韩的后腿，还帮丈夫做些工作
行动	xíngdòng	n	Get some action	我不会有实际的行动。
杭州	Hángzhōu	ns	Hangzhou	我和王慧想去杭州。
毫无	háowú	v	There is no	于是他们两人又开始搜索，找了很长的时间，依然毫无结果
合理	hélǐ	a	Reasonable	这样听起来很合理。
何	hé	r	He	退货保证有何具体条款？
何必	hébì	d	Why	“谁都可以，何必定要他呢
横	héng	a	Cross	下刀得横切丝竖切筋，
横冲直撞	héngchōngzhízhuàng	i	push one 's way by shoving or humping	这样横冲直撞是不是去赶死
哄	hōng	v	Coax	当初你哄我上床。
呼喊	hūhǎn	v	Shout	尽管我大声呼喊，却毫无回音
糊涂	hútu	a	Confused	你看我都糊涂了。
话说	huàshuō	v	Say	这边请。好。贵厂真是没话说。呱呱叫！
怀	huái	v	Huai	可别像我当年怀忆真时那样…
怀疑	huáiyí	v	Doubt	她怀疑那些陌生的人。
患	huàn	v	suffer from	他患重{zhong4}感冒。
皇帝	huángdì	n	Emperor	他也算是马屁皇帝。
恢复	huīfù	v	Recovery	祝您早日恢复健康。
回忆	huíyì	v	Memory	我怎么也回忆不出来
混	hùn	v	Mixed	就这样还出来混呢！
击	jī	v	Hammer	在进攻方面，就要做到一击即中
吉	jí	a	Luck	好吧。请告诉他吉姆给他打过电话。
即将	jíjiāng	d	The upcoming	马叔叔告诉我们，样笔经过实践检验，取得了良好的效果，最近已通过有关专家鉴定，即将投入大批量生产
季	jì	nt	Season	永远都能预知下一季的潮流。
既然	jìrán	c	Since	应该不会。既然买了就别后悔!
加速	jiāsù	v	Acceleration	而且还发现有加速下沉的趋势
驾	jià	v	Drive	他不可能自己驾车{che1}。
坚持	jiānchí	v	Insist	我能坚持。
建议	jiànyì	v	Suggestions	我建议你在这段时间里，
剑	jiàn	n	The sword	六、剑指组合
将军	jiāngjūn	n	General	报告将军。
酱	jiàng	n	Sauce	鲜果西多士，用果汁代替糖酱。
娇	jiāo	a	Charming	孩子这么娇,你说{shuo1}她放心得{de5}了{liao3}吗{ma5}
焦	jiāo	a	Coke	仔细检查过{guo5}被烧焦了{le5}的{de5}汽车
角度	jiǎodù	n	Angle	我是说换一个角度来说。
教授	jiāoshòu	n	Professor	直到这位教授来了，他们才开始测试。
教训	jiàoxùn	n	Lesson	然后给我一个教训。
接通	jiētōng	v	Switch on	你好，你所拨打的电话暂时无法接通。
解决	jiějué	v	Solve	“打”不能解决问题，愿意与父母交流的孩子还是占大多数的。
届	jiè	q	Session	我大你一届，不过我们一块毕业。
界	jiè	n	circles	生产教育的理论在论坛界占了首位了
紧急	jǐnjí	a	Emergency	但是如果有紧急情况，经理又不在，我们怎么办呢？
尽管	jǐnguǎn	d	although	可见，在认知过程中，个人尽管可以获得多种信息，但最终决定他形成印象的却是最初信息，其余信息则被忽略
尽快	jǐnkuài	d	As soon as possible	Interviewer:我们会尽快和你联系，特德。谢谢你能来。
尽量	jǐnliàng	d	As far as possible	十位，座位尽量靠窗户。
禁	jìn	v	Ban	穷人嘴巴封不住，要想禁歌万不能
警告	jǐnggào	v	Warning	我警告你啊。
净	jìng	a	Net	别净站在门外，进来坐，喝杯茶吧。
镜头	jìngtóu	n	Camera lens	我跟镜头就这么近。
究竟	jiūjìng	d	What	你究竟是谁？
就算	jiùsuàn	c	Even if	没有就算了。
巨星	jùxīng	n	Giant star	非常感谢动作巨星剑龙先生，
拒绝	jùjué	v	refuse	但是，她整整过了十年单身生活，拒绝再次出嫁给任何人
具体	jùtǐ	a	Concrete	这样吧，回头我具体给您一份报告。
距离	jùlí	n	Distance	山西队的张挺和耿浩的距离非常接近
决赛	juésài	n	Finals	要在决赛赢她们
绝对	juéduì	a	Absolutely	但是我绝对不同意。
君	jūn	n	Jun	那种君山银针怎么那么贵？
开放	kāifàng	v	To open up	改革开放以后富起来的。
康复	kāngfù	v	Recovery	医生，他要多久才能康复？
考虑	kǎolǜ	v	Consider	我考虑清楚了。
磕	kē	v	Knock	自己磕。
可不是	kěbushì	v	Can not	不不，我可不是这个意思
孔	kǒng	nhf	hole	这几{ji3}个{ge4}小孔我钻{zuan1}不好{hao3}
恐怖	kǒngbù	v	Terror	血腥浪漫纯情惊悚恐怖文艺漫画。
恐怕	kǒngpà	d	I'm afraid	真对不起，恐怕不能。
控制	kòngzhì	v	Control	坚持总量控制，首先要控制信贷。
库	kù	n	library	可以由湖库管理部门与周围生产经营单位组成联合公司，联合经营，按股分成
夸张	kuāzhāng	a	Exaggeration	而在不久之前，不夸张地说，
郎	láng	n	Lang	能把美元兑换成法郎吗？
牢	láo	n	In prison	很多坐过牢的人还浪子回头呢。
老板娘	lǎobǎnniáng	n	The boss	扶老板娘走先！
老人家	lǎorenjia	n	The old man	我们老人家，没有收入，
老实	lǎoshi	a	Honest	我老实告诉你…
老远	lǎoyuǎn	a	All the way	跑那么老远，好玩吧？
老子	Lǎozǐ	n	Me	你把老子车撞了，老子骂你咋着嘛！
理想	lǐxiǎng	n	The ideal	这是我的理想。
利用	lìyòng	v	The use of	我利用了你的好感。
莲	lián	n	lotus	这种情况，莲表现得很清楚
联合	liánhé	v	union	掌握了单个动作以后应及时转入联合动作训练，进一步提高单个动作的质量和熟练性
炼	liàn	v	Refine	他们也炼起钢{gang1}来
恋	liàn	v	Love	和机长发生一段生死恋。
梁	liáng	nhf	Beam	是梁小姐吧？
列	liè	v	Column	比率都列在左边的电子榜上。我们是以现在旅行支票的买入比率兑换。
裂	liè	v	crack	他动了动，全身就象破碎了、散裂了一样
临时	línshí	a	Temporary	付临时订金？
领导	lǐngdǎo	n	Leadership	是领导。
流浪	liúlàng	v	stray	于是，一个无票乘客流浪到了北京
柳	liǔ	n	Willow	男人真贱。喝柳橙汁
陆	lù	n	Land	在陆家嘴，一万九一个月，太贵了。
录	lù	v	Record	我录了首歌送给你。
录取	lùqǔ	v	Admission	不是通过考试录取吗{ma5}？怎么又推荐上{shang4}了{le5}
录像	lùxiàng	n	videotape	一月五日上午九时，第二套节目，中国队对保加利亚队，当日晚第套节目重播这场比赛的录像。
录音	lùyīn	v	Sound recording	对。这几天的课我们都录音了。
露水	lùshuǐ	n	Dew	为什么露水总是在夜间和清晨出现，而不出现在白天
落后	luòhòu	a	backward	从上周起，我在工作上{shang5}已经落后了{le5}。
略	lüè	n	slightly	我的{de5}房间比她的{de5}略小一些。
麻	má	n	Ma	那你带我去，麻不麻烦你呀？
码	mǎ	n	code	就当{dang4}我不知道这码事
买卖	mǎimai	n	Business	和经常买卖的投资产品。
迈	mài	v	Mai	刘柏谦-迈克。
蛮	mán	d	Pretty	不过…是蛮正的。
满足	mǎnzú	a	Meet	如果你被录用，你将负责满足美国市场要求的玩具设计工作。
梅花	méihuā	n	Plum blossom	我说梅花你等吧，看看我这个红娘怎么样
美好	měihǎo	a	Beautiful	再美好的东西，都有失去的一天。
梦想	mèngxiǎng	v	Dream	我梦想的婚礼不是这样的。
迷人	mírén	v	charming	我们认为，不管怎样，运用工艺学原理设计教学，展现了当代教学理论的一个其本趋势，其前景是迷人的。
密	mì	a	dense	弥漫物质状态和超密物质状态，就是两种基本状态
免	miǎn	v	Free	既受青睐，似乎一切可以放心免念了
面对	miànduì	v	Face	一百八十度玻璃，面对高尔夫球场。
面子	miànzi	n	Face	看你面子上，便宜你，四万五。
苗	miáo	n	seedling	她们开始了一场扶苗的争夺战
末	mò	n	end	到下月末，他就在这里住了{le5}十年了{le5}。
陌生人	mòshēngrén	n	Stranger	两个陌生人萍水相逢。
莫	mò	d	No	好好说话，莫骂人呢。
墨	mò	n	ink	我给{gei3}他磨{mo2}起墨来
幕	mù	n	curtain	谢了{le5}三次幕还是下不了{liao3}台{tai2}
乃	nǎi	d	But	我乃医官沙陀忠。
耐	nài	v	Resistance	你又说错了!好东西有的是，净是名牌，耐克、阿迪达斯什么的，应有尽有。
内容	nèiróng	n	Content	因为这个内容…更重要。
内心	nèixīn	n	The heart	我父亲的内心。
能干	nénggàn	a	Competent	A:要说这个做饭好吃啊，还属沈冰，那叫一个能干呀，做的菜色香味俱全。
年代	niándài	nt	years	在他一生的{de5}年代里他见到过{guo5}许多有名人物。
尿	niào	n	Urine	除了尿不出来，总想尿。
宁可	nìngkě	d	Would rather	要是没有把握，宁可不用
宁愿	nìngyuàn	d	Would rather	为什么女孩子都爱看《泰坦尼克号》呢？情节怪老套的！我看的时候觉得很无聊，二我也不喜欢那个男主角，看起来一点儿也不成熟，演的也一般。我要是罗斯，就宁愿嫁给那个有钱人。
农场	nóngchǎng	n	farm	他渴望知道关于农场的{de5}一切。
怒	nù	v	anger	这位先生动开怒了{le5}
怒火	nùhuǒ	n	Anger	一代代的怒火积压下来了
欧元	ōuyuán	n	euro	一元人民币能换多少欧元？
欧洲	ōuzhōu	ns	Europe	要比欧洲品牌严格很多很多。
拍打	pāidǎ	v	Slap	她发疯似地拍打女儿身上的火，火灭了，女儿的心脏也停止了跳动
拍戏	pāixì	v	The movie	不仅女人想拍戏有难度。
判断	pànduàn	v	Judge	如果我判断没错的话。
胖乎乎	pànghūhū	a	plump	有一个胖乎乎的男孩子，看样子不过五六岁，常常横冲直撞地在车厢里穿过来走过去
泡沫	pàomò	n	foam	但若温度过高，产生泡沫太多，对吹出不利
泡妞	pàoniū	v	Flirt with hot chicks	不要泡妞啦坚叔
赔	péi	v	Compensate	你赔不起，我告诉你。
配	pèi	v	With	跟你家女儿很配的。
碰面	pèngmiàn	v	meet	两队队员碰面都热情地打招呼
骗子	piànzi	n	Cheat	要么是情圣，要么就是骗子。
拼命	pīnmìng	v	Try my best	他拼命的{de5}追去
拼写	pīnxiě	v	spell	那{na4}男孩正确地{de5}拼写了{le5}他的{de5}名字。
品	pǐn	v	Product	仔细品，满嘴都是人民币的味。
平常	píngcháng	a	Usual	你平常，
平均	píngjūn	a	Average	我想平均下来应该是129美元，这是昨天我们开房间的时候服务员告诉我们的。
评	píng	v	Evaluation	是被评为很不好的一部电影。
凭	píng	p	By	我凭什么去。
婆	pó	n	Granny	它们不像鸭婆那样容易安静下来，仍在互相追逐着、嬉戏着，显得十分活泼
普	pǔ	a	Pu	十二年的普洱可以吗？
普通	pǔtōng	a	Ordinary	就普通朋友。
普通话	pǔtōnghuà	n	Mandarin	你能够说普通话吗？
欺负	qīfu	v	Bully	你欺负小孩！
起码	qǐmǎ	a	Minimum	十五年起码十五年了。
气愤	qìfèn	v	angry	他气愤极了，他早已便想骂他们一下
器	qì	n	implement	请你开动人工科学呼吸器使他们安然入睡，看他们的梦境是否相同
千方百计	qiānfāngbǎijì	i	make every attempt	只要我们团结带领青年千方百计地为家乡富起来而努力奋斗，条件是完全能够创造出来的
欠	qiàn	v	Owe	这样你就不欠我的了，是吗？
强大	qiángdà	a	powerful	我们的{de5}国家越来越强大。
强烈	qiángliè	a	Strong	我就强烈地感觉到，
墙壁	qiángbì	n	wall	这一回当然钉牢了，然而墙壁上的伤痕更难看
瞧不起	qiáobuqǐ	v	Look down upon	我瞧不起的。
巧妙	qiǎomiào	a	clever	他把小心谨慎的军事行动同积极主动的外交攻势巧妙地结合起来，取得了相当的成功
秦	qín	nhf	Qin	这位是秦先生。
情感	qínggǎn	n	emotion	在文艺活动中，情绪一旦被唤醒，这些处于抑制状态的情感随即开始活跃起来
庆	qìng	v	Celebrate	改革也“庆父不死，鲁难求已”，这种态度不改一改，那么不要说饮料卫生不能改进，甚至都会落空
球赛	qiúsài	n	ball game	我们和{he2}省{sheng3}队的{de5}球赛因为天气不好{hao3}没{mei2}比成
区分	qūfēn	v	distinguish	如果区分得过早，或过于严格，后面的阶段将永远无法达到
去世	qùshì	v	Death	父亲年前去世了。
权	quán	n	Right	第六款抵押权的消灭
全力	quánlì	n	Full strength	他很自信，甚至自负，倾全力干他的事业，这是主要之点。
全面	quánmiàn	a	Comprehensive	你们要全面出击
全球	quánqiú	n	Global	有些结果甚至是相互矛盾的，但对全球平均温度的变化却取得了较为一致的看法
泉水	quánshuǐ	n	spring water	所谓水源地，是指泉水涌出的地方
劝说	quànshuō	v	persuade	开始我爸也是不同意，经我多次耐心劝说，他才勉强答应了
确定	quèdìng	v	Determine	你确定吗？
确实	quèshí	d	Exactly	Tracy:确实如此。
燃烧	ránshāo	v	burning	燃料如果被燃烧，就放出热。
让步	ràngbù	v	compromise	原先说话的那位小商人表示了让步似的又加这一句
饶	ráo	v	Spare	到后来,小胖子讨开饶了{le5}
人工	réngōng	n	Artificial	别害怕，这是人工性荨麻疹。
人生	rénshēng	n	Life	这就是人生。
人心	rénxīn	n	The heart	我看中的是人心。
忍不住	rěnbùzhù	v	unable to bear	我忍不住笑起来。
忍受	rěnshòu	v	bear	我再也不能忍受如此热的{de5}天气了{le5}。
任何	rènhé	r	Any	因为我们不需要你有任何态度。
任务	rènwu	n	Task	这个任务交给我吧。
荣	róng	a	Rong	公司所有同事都以你为荣。
容	róng	v	Allow	其实，整顿路容是一件挺苦的活，他们使用的是三十年代的老机械，一个月只能整道四公里半，还得加班加点才行
如此	rúcǐ	r	So	原来如此。
弱	ruò	a	Weak	NATALIE，你知道谁是最弱的一个
撒	sǎ	v	SA	你快撒手！
赛车	sàichē	v	The car	你不是想参加职业赛车吗?
扫描	sǎomiáo	v	Scanning	想给你照个电脑扫描。
傻子	shǎzi	n	fool	谁也不是傻子，你不卖自然有人卖，谁能管得许多
善	shàn	a	good	不能正视现实与不相信任何理想，不相信恶与不相信善，起码是一样糟糕
善良	shànliáng	a	Good	第四，人要善良。
善于	shànyú	v	be good at	他善于使自己摆脱困境。
稍后	shāohòu	nt	Later	请稍后再拨。
稍微	shāowēi	d	A little	是有稍微牵一下啦。
舍得	shědé	v	Willing to	我怎么会舍得惩罚你。
设	shè	v	Design	你的投资风险取向而设的。
身材	shēncái	n	Figure	你那么好身材，怕什么？
身份	shēnfèn	n	Identity	我决定将我女朋友的身份公开。
深圳	shēnzhen4	ns	Shenzhen	如果是这样的话，我们可以把计划改成在北京四天，上海和深圳各两天。行吗?
什	shén	m	What	知道了有什用呢
神经	shénjīng	n	Nerve	她又发什么神经呀？
甚	shèn	d	very	我对生活的{de5}艺术了解甚少{shao3}。
圣诞节	Shèngdànjié	nt	Christmas	这是我第一次过圣诞节。真是太棒了！
尸	shī	n	Corpse	每次检查这样的腐尸你都是这样
失	shī	v	The loss of	我还记得很多事情，我不可能失忆。
实在	shízài	a	Really	你实在点行吗？
士兵	shìbīng	n	rank-and-file soldiers	中午那个黑人士兵来送饭时，我请他替我将信转交给他的上司
世	shì	nt	life	六、创世神话的象征性重现
世界	shìjiè	n	The world	这个世界上。
市民	shìmín	n	A citizen	政府呼吁市民节约用电。
式	shì	k	Type	泰式招牌鱼，
似的	shìde	u	Like	跟牛似的，最实用了。
事件	shìjiàn	n	Event	你好，这里是今日事件栏目组。
视	shì	v	Visual	便宜6到8角，视情况而定。
收入	shōurù	v	Income	要增加收入？
手枪	shǒuqiāng	n	Pistol	弟弟用小手枪比起我来
受到	shòudào	v	Suffer	但是多年来，预防工作没有受到应有的重视
书法	shūfǎ	n	Calligraphy	比起他的{de5}书法,我还是差{cha4}远了{le5}
书房	shūfáng	n	Study	你书房里那两个妞也可以呀
书柜	shūguì	n	Bookcase	他的{de5}书柜你可{ke3}翻不得{de5}
书籍	shūjí	n	book	把{ba3}父亲留下的{de5}书籍全部贡献出去
顺便	shùnbiàn	d	Incidentally	巧了，两个一起，顺便帮我交给总经理。
说明	shuōmíng	v	Explain	这是家桥的说明信。
思考	sīkǎo	v	reflection	因此，他反复思考，终于想出并实行了另一种监考方法
宋	sòng	nhf	Song	这位先生要肉眼排,五成熟,和罗宋汤。
俗	sú	a	Custom	太好了，左小姐，快帮我选选吧!这纯碎花儿的不够明快，这黄格格儿的显旧，这绿地儿的有点儿俗……啊，这种图案真新颖，这种紫花儿的真漂亮……
俗气	súqì	a	Tacky	越是僧家俗气多
素	sù	n	Su	我倒觉得今天的菜素了。。。
酸菜	suāncài	n	Pickled cabbage resembling sauerkraut	你反复地说你对于西北一个地区喜欢吃自渍的酸菜的农民生活的印象
算术	suànshù	n	arithmetic	他正在研究一些算术问题。
随意	suíyì	v	Random	太随意了。
岁数	suìshù/shǔ	n	Age	我活这么大岁数。
岁月	suìyuè	nt	years	当你看到这些字的时候，你的女儿也许不在人世了，忘掉我吧，忘掉我们共同生活的那些岁月吧
孙悟空	sūnwùkōng/kòng	nh	Sun WuKong	关于孙悟空的一切并非实有其事，将来他有没有理会得的一日，很是问题
损坏	sǔnhuài	v	damage	若有人乱拿了队上的一点东西，或损坏了工具，或干活质量差了，她会毫不留情面地批评一顿
损失	sǔnshī	v	Loss	那谁有损失呢？
太子	tàizǐ	n	crown prince	国王知道太子施舍白象一事，大为震怒，驱赶太子出宫，为期十年，要他悔过
态度	tàidu	n	Attitude	什么态度？
泰	tài	n	Thai	你们男孩子就喜欢看这样的电影。我最爱看爱情片，比如《泰坦尼克号》就是我最喜欢的电影之一。不但情节浪漫，而且音乐也很美。最后男主角死的时候，我哭了，一包纸巾都用完了。
贪	tān	v	Greed	别贪便宜多买啊。
贪心	tānxīn	a	greedy	当干部的一贪心，社员就不信任你了，生产就要受到影响了
谈话	tánhuà	n	Conversation	一前一后，怎么谈话嘛？
唐	táng	nt	Tang	很高兴认识你，唐小姐。
唐人街	tángrénjiē	ns	Chinatown	一定比唐人街的还好吃。
塘	táng	n	pond	我今个是非填塘不可
淘汰	táotài	v	The elimination of	现在我们这个行业竞争越来越激烈，如果管理模式不开放的话，很有可能被淘汰。
特地	tèdì	d	Specially	她特地从加拿大赶回来。
特殊	tèshū	a	Special	你能告诉我你有什么特殊技能吗？
腾	téng	v	Teng	我实在腾不出时间
提供	tígōng	v	Provide	请到咨询台.他们会给你提供帮助的.
提问	tíwèn	v	put questions to	这位发言人是在今天下午举行的新闻发布会上回答记者的提问时说这番话的
体	tǐ	n	body	在干旱季节，由于缺乏形成菌丝体所需要的湿度，病菌不易扩散
天亮	tiānliàng	v	dawn	你要是不管它,它一直能叫到天亮去
天生	tiānshēng	a	Born	但是它不是腐烂的水果。它天生就是这种特殊的味儿。
条件	tiáojiàn	n	Conditions	什么条件。
调查	diàochá	v	Investigation	我们正在调查.请稍等一下.
调整	tiáozhěng	v	Adjustment	那么关于预算的调整、
童	tóng	n	child	那是我童时所流的眼泪
投降	tóuxiáng	v	surrender	敌人已经投降的{de5}消息很快传{chuan2}遍了{le5}全国。
透明	tòumíng	a	transparent	并非所有玻璃都{dou1}是透明的{de5}。
突	tū	v	Outburst	墙面突出一块砖
徒弟	túdi	n	apprentice	他给{gei3}徒弟们指点起来了{le5}
团购	tuán gòu	v	Group buying	你可以在网上团购电脑啊，会便宜很多。
推出	tuīchū	v	Introduction	新推出的U．T．
推倒	tuīdǎo/dào	v	Push down	（被推倒，翻起身又扑过去）有本事你打死，
瓦	wǎ	n	Tile	一定要用瓦锅煮才香。
丸	wán	n	Pill	再来一个贡丸汤，
完蛋	wándàn	v	Be finished	谁动感情谁完蛋。
完美	wánměi	a	Perfect	就不会有这么完美的结局。
晚餐	wǎncān	n	Dinner	晚上七点和利星建筑集团的魏总共进晚餐。
万一	wànyī	c	In case of	我不去，万一碰上什么人呢？
旺	wàng	a	Wang	今天生意特别旺。
威力	wēilì	n	power	从上帝创造世界时就规定了他自己要做些什么，而且以后就根据他的威力执行他规定下来的事情
微	wēi	a	Micro	少糖七份，半糖五份，微糖三份。
为何	wèihé	d	Why	分享一下大家为何有缘来这里交换伴侣？
为人	wèirén	n	Man	所以他对于级长的为人，真是器重极了
唯一	wéiyī	a	Only	我觉得吧，现在唯一的办法就是，
伟大	wěidà	a	The great	你有这么伟大的垃圾理论？说来听听。
未来	wèilái	nt	The future	生活无忧的未来。
胃	wèi	n	The stomach	要让你的胃可以慢慢的适应。
文件	wénjiàn	n	File	先把文件准备好。
文学	wénxué	n	Literature	雷雷的专业好像是文学吧？
吻	wěn	v	Kiss	这个吻面礼你让我们这些，
乌龟	wūguī	n	tortoise	第二天，乌龟妈妈又去看那六个蛋，又碰上了那大鳄鱼
乌鸦	wūyā	n	crow	”不难注意到，“乌鸦”这个词是此段描写里的一个中心
无敌	wúdí	v	Invincible	各位朋友，无敌冰沙，Welcome，来，来，来。
无聊	wúliáo	a	Boring	对啊！如果只知道存钱，一点儿也舍不得花，那样的生活是很无聊。可是如果把钱全花光的话，就太没有安全感了。
无论	wúlùn	c	No matter	以后无论是你们，还是你们带朋友来，
午餐	wǔcān	n	Lunch	不过要按我的日程表来，如果他想午餐见。
伍	wǔ	m	five	那对于我们大家，都是一桩可怕的灾祸，伍，伍
武	wǔ	a	martial	来武的，拳头上较量，输了你是我大爷
武打	wǔdǎ	n	Martial arts	但因他从小不习兵刀，所以我们看不出这位书生在这场武打场面中的出色镜头
武器	wǔqì	n	arms	这些警察真勇敢，抓住了那些手持武器的歹徒。
物体	wùtǐ	n	object	一个物体中{zhong1}的{de5}分子数目大{da4}得{de5}难以想象。
误解	wùjiě	v	misunderstand	这不准确，是误解了中国的经济政策
息	xī	n	Interest	银行收我们的是拆息利率，不是优惠利率。
喜好	xǐhào	v	like	但是，群众的需要、喜好，也要分析
